po_id,supplier_id,supplier_name,sku_id,product_name,category,order_date,qty_ordered,qty_received,unit_price_usd,total_value_usd,currency,expected_delivery,actual_delivery,delay_days,status,invoice_no,payment_status,notes
PO-5021,SUP-107,TrustMart B2B,SKU-1017,Printer Ink Cartridge,Office,2025-11-15,286,286,228.65,65393.9,USD,2025-12-01,2025-11-30,-1,Delivered,INV-66626,Overdue,
PO-5022,SUP-110,SwiftLogistics,SKU-1016,Desk Organizer,Office,2025-03-17,56,0,120.11,6726.16,USD,2025-04-01,,,Cancelled,INV-85392,Pending,Seasonal stock
PO-5023,SUP-101,GlobalTech Supplies,SKU-1048,Toner,Beauty,2026-02-11,430,430,150.34,64646.2,USD,2026-02-26,2026-03-01,3,Delivered,INV-71669,Overdue,Bulk discount applied
PO-5024,SUP-108,ValueChain Partners,SKU-1017,Printer Ink Cartridge,Office,2025-06-04,309,185,224.78,69457.02,USD,2025-06-26,2025-07-09,13,Partially Delivered,INV-21959,Pending,Rush order
PO-5025,SUP-106,QuickMart Wholesale,SKU-1026,Polo Shirt,Clothing,2025-08-21,174,104,169.69,29526.06,USD,2025-09-02,2025-09-05,3,Partially Delivered,INV-53228,Pending,Rush order
PO-5026,SUP-112,EuroGoods Direct,SKU-1031,Blender,Home & Kitchen,2025-07-29,349,209,251.47,87763.03,USD,2025-08-04,2025-08-03,-1,Partially Delivered,INV-69614,Pending,
PO-5027,SUP-106,QuickMart Wholesale,SKU-1016,Desk Organizer,Office,2025-08-16,69,0,148.31,10233.39,USD,2025-08-28,,,Pending,INV-77449,Pending,Quality check required
PO-5028,SUP-101,GlobalTech Supplies,SKU-1042,Conditioner 500ml,Beauty,2025-12-06,246,246,27.16,6681.36,USD,2025-12-21,2026-01-04,14,Delivered,INV-57419,Overdue,Quality check required
PO-5029,SUP-108,ValueChain Partners,SKU-1040,Face Moisturizer,Beauty,2025-10-16,399,399,74.71,29809.29,USD,2025-11-07,2025-11-09,2,Delivered,INV-47752,Pending,Bulk discount applied
PO-5030,SUP-108,ValueChain Partners,SKU-1007,Power Bank,Electronics,2025-03-18,332,332,192.2,63810.4,USD,2025-04-09,2025-04-12,3,Delivered,INV-50730,Overdue,
PO-5031,SUP-109,NexGen Procurement,SKU-1026,Polo Shirt,Clothing,2025-04-20,125,125,184.87,23108.75,USD,2025-05-10,2025-05-22,12,Delivered,INV-25396,Overdue,Quality check required
PO-5032,SUP-103,PrimeVendor Ltd,SKU-1031,Blender,Home & Kitchen,2025-07-31,270,0,235.9,63693.0,USD,2025-08-04,,,Pending,INV-73242,Pending,Rush order
PO-5033,SUP-104,EcoSource Inc.,SKU-1029,Sport Leggings,Clothing,2025-12-11,84,0,46.72,3924.48,USD,2025-12-17,,,In Transit,INV-76616,Pending,Bulk discount applied
PO-5034,SUP-115,NorthStar Vendors,SKU-1008,Smart Speaker,Electronics,2025-04-08,151,90,96.83,14621.33,USD,2025-04-26,2025-05-07,11,Partially Delivered,INV-54548,Pending,Quality check required
PO-5035,SUP-109,NexGen Procurement,SKU-1017,Printer Ink Cartridge,Office,2025-03-05,154,92,244.17,37602.18,USD,2025-03-25,2025-04-07,13,Partially Delivered,INV-29476,Pending,Rush order
PO-5036,SUP-109,NexGen Procurement,SKU-1030,Coffee Maker,Home & Kitchen,2025-08-27,180,0,225.2,40536.0,USD,2025-09-16,,,In Transit,INV-59441,Pending,Rush order
PO-5037,SUP-115,NorthStar Vendors,SKU-1020,Men T-Shirt,Clothing,2025-06-08,367,0,184.91,67861.97,USD,2025-06-26,,,Pending,INV-40613,Pending,Quality check required
PO-5038,SUP-113,PacificSource,SKU-1026,Polo Shirt,Clothing,2025-03-26,172,0,173.2,29790.4,USD,2025-04-18,,,Cancelled,INV-59968,Pending,Rush order
PO-5039,SUP-111,AsiaTrade Hub,SKU-1041,Shampoo 500ml,Beauty,2025-05-20,263,263,192.87,50724.81,USD,2025-05-23,2025-06-06,14,Delivered,INV-87356,Pending,Quality check required
PO-5040,SUP-102,FastShip Co.,SKU-1028,Denim Shorts,Clothing,2025-04-24,279,279,127.51,35575.29,USD,2025-05-13,2025-05-15,2,Delivered,INV-63736,Overdue,
PO-5041,SUP-102,FastShip Co.,SKU-1030,Coffee Maker,Home & Kitchen,2025-07-17,183,0,229.81,42055.23,USD,2025-08-05,,,Pending,INV-95175,Pending,
PO-5042,SUP-114,AmeriTrade Supplies,SKU-1021,Women Jeans,Clothing,2026-02-12,449,449,119.52,53664.48,USD,2026-02-15,2026-02-28,13,Delivered,INV-80912,Paid,Seasonal stock
PO-5043,SUP-102,FastShip Co.,SKU-1015,Whiteboard Markers,Office,2026-01-21,360,360,162.09,58352.4,USD,2026-02-09,2026-02-09,0,Delivered,INV-66881,Paid,Quality check required
PO-5044,SUP-111,AsiaTrade Hub,SKU-1045,Hand Cream,Beauty,2025-04-24,237,237,167.74,39754.38,USD,2025-04-27,2025-04-25,-2,Delivered,INV-16028,Pending,Quality check required
PO-5045,SUP-101,GlobalTech Supplies,SKU-1018,Scissors,Office,2025-09-03,201,201,72.48,14568.48,USD,2025-09-18,2025-10-02,14,Delivered,INV-64008,Overdue,Bulk discount applied
PO-5046,SUP-113,PacificSource,SKU-1011,A4 Paper (Ream),Office,2025-05-30,99,59,192.49,19056.51,USD,2025-06-22,2025-07-02,10,Partially Delivered,INV-91226,Pending,Bulk discount applied
PO-5047,SUP-104,EcoSource Inc.,SKU-1031,Blender,Home & Kitchen,2025-12-27,83,0,205.18,17029.94,USD,2026-01-02,,,Cancelled,INV-43289,Pending,Rush order
PO-5048,SUP-105,MegaDist Corp,SKU-1042,Conditioner 500ml,Beauty,2025-03-08,470,470,30.34,14259.8,USD,2025-03-27,2025-03-30,3,Delivered,INV-19681,Pending,
PO-5049,SUP-110,SwiftLogistics,SKU-1019,Tape Dispenser,Office,2026-01-25,227,0,233.94,53104.38,USD,2026-02-09,,,Pending,INV-49599,Pending,
PO-5050,SUP-107,TrustMart B2B,SKU-1030,Coffee Maker,Home & Kitchen,2025-04-27,131,131,214.16,28054.96,USD,2025-05-13,2025-05-20,7,Delivered,INV-48696,Paid,Quality check required
PO-5051,SUP-111,AsiaTrade Hub,SKU-1025,Socks (Pack-6),Clothing,2025-07-22,14,0,155.63,2178.82,USD,2025-07-25,,,Cancelled,INV-16428,Pending,Seasonal stock
PO-5052,SUP-112,EuroGoods Direct,SKU-1031,Blender,Home & Kitchen,2025-07-28,407,0,241.97,98481.79,USD,2025-08-03,,,In Transit,INV-56179,Pending,
PO-5053,SUP-111,AsiaTrade Hub,SKU-1012,Sticky Notes Pack,Office,2026-01-15,138,0,163.54,22568.52,USD,2026-01-18,,,Cancelled,INV-96400,Pending,Bulk discount applied
PO-5054,SUP-114,AmeriTrade Supplies,SKU-1008,Smart Speaker,Electronics,2026-01-19,59,0,100.25,5914.75,USD,2026-01-22,,,Cancelled,INV-15167,Pending,
PO-5055,SUP-113,PacificSource,SKU-1028,Denim Shorts,Clothing,2025-03-21,306,306,109.39,33473.34,USD,2025-04-13,2025-04-13,0,Delivered,INV-48680,Pending,Bulk discount applied
PO-5056,SUP-107,TrustMart B2B,SKU-1011,A4 Paper (Ream),Office,2025-06-14,77,77,237.77,18308.29,USD,2025-06-30,2025-07-14,14,Delivered,INV-75771,Pending,Quality check required
PO-5057,SUP-103,PrimeVendor Ltd,SKU-1016,Desk Organizer,Office,2025-11-05,422,253,122.63,51749.86,USD,2025-11-09,2025-11-17,8,Partially Delivered,INV-25095,Pending,Rush order
PO-5058,SUP-102,FastShip Co.,SKU-1009,Laptop Stand,Electronics,2025-06-27,450,0,46.11,20749.5,USD,2025-07-16,,,Cancelled,INV-62089,Pending,Quality check required
PO-5059,SUP-113,PacificSource,SKU-1035,Food Storage Containers,Home & Kitchen,2025-09-07,56,56,132.73,7432.88,USD,2025-09-30,2025-10-06,6,Delivered,INV-80329,Paid,Rush order
PO-5060,SUP-106,QuickMart Wholesale,SKU-1043,Sunscreen SPF50,Beauty,2026-02-11,144,86,150.09,21612.96,USD,2026-02-23,2026-03-04,9,Partially Delivered,INV-24201,Pending,Bulk discount applied
PO-5061,SUP-104,EcoSource Inc.,SKU-1030,Coffee Maker,Home & Kitchen,2025-03-16,327,0,246.7,80670.9,USD,2025-03-22,,,In Transit,INV-52992,Pending,Seasonal stock
PO-5062,SUP-104,EcoSource Inc.,SKU-1041,Shampoo 500ml,Beauty,2025-04-05,335,0,185.89,62273.15,USD,2025-04-11,,,Cancelled,INV-49608,Pending,Bulk discount applied
PO-5063,SUP-107,TrustMart B2B,SKU-1007,Power Bank,Electronics,2025-05-14,33,33,210.54,6947.82,USD,2025-05-30,2025-06-12,13,Delivered,INV-25220,Paid,
PO-5064,SUP-115,NorthStar Vendors,SKU-1034,Kitchen Knife Set,Home & Kitchen,2025-05-12,208,0,138.51,28810.08,USD,2025-05-30,,,Cancelled,INV-80804,Pending,Rush order
PO-5065,SUP-110,SwiftLogistics,SKU-1047,Eye Cream,Beauty,2025-05-22,463,463,32.68,15130.84,USD,2025-06-06,2025-06-19,13,Delivered,INV-90694,Pending,
PO-5066,SUP-101,GlobalTech Supplies,SKU-1044,Lip Balm,Beauty,2025-09-09,121,121,214.0,25894.0,USD,2025-09-24,2025-10-03,9,Delivered,INV-23022,Overdue,
PO-5067,SUP-109,NexGen Procurement,SKU-1041,Shampoo 500ml,Beauty,2025-09-03,41,41,164.8,6756.8,USD,2025-09-23,2025-09-24,1,Delivered,INV-69600,Paid,Bulk discount applied
PO-5068,SUP-104,EcoSource Inc.,SKU-1041,Shampoo 500ml,Beauty,2026-01-25,315,315,193.18,60851.7,USD,2026-01-31,2026-02-08,8,Delivered,INV-41925,Paid,Quality check required
PO-5069,SUP-110,SwiftLogistics,SKU-1013,Stapler,Office,2025-04-08,434,434,152.64,66245.76,USD,2025-04-23,2025-04-27,4,Delivered,INV-40539,Pending,Quality check required
PO-5070,SUP-103,PrimeVendor Ltd,SKU-1038,Mixing Bowls Set,Home & Kitchen,2025-03-05,151,151,107.16,16181.16,USD,2025-03-09,2025-03-11,2,Delivered,INV-80807,Pending,Quality check required
PO-5071,SUP-103,PrimeVendor Ltd,SKU-1007,Power Bank,Electronics,2026-02-05,453,453,160.52,72715.56,USD,2026-02-09,2026-02-18,9,Delivered,INV-41186,Overdue,
PO-5072,SUP-101,GlobalTech Supplies,SKU-1011,A4 Paper (Ream),Office,2025-07-17,36,0,195.55,7039.8,USD,2025-08-01,,,Pending,INV-78955,Pending,
PO-5073,SUP-112,EuroGoods Direct,SKU-1004,Webcam,Electronics,2025-11-02,239,0,248.5,59391.5,USD,2025-11-08,,,In Transit,INV-87812,Pending,
PO-5074,SUP-108,ValueChain Partners,SKU-1032,Non-stick Pan,Home & Kitchen,2025-06-25,494,0,224.18,110744.92,USD,2025-07-17,,,Cancelled,INV-96363,Pending,Seasonal stock
PO-5075,SUP-105,MegaDist Corp,SKU-1029,Sport Leggings,Clothing,2026-01-27,25,0,42.17,1054.25,USD,2026-02-15,,,Pending,INV-62640,Pending,Rush order
PO-5076,SUP-111,AsiaTrade Hub,SKU-1006,LED Desk Lamp,Electronics,2025-11-10,374,374,223.48,83581.52,USD,2025-11-13,2025-11-13,0,Delivered,INV-52219,Overdue,
PO-5077,SUP-102,FastShip Co.,SKU-1008,Smart Speaker,Electronics,2025-07-22,329,0,93.17,30652.93,USD,2025-08-10,,,In Transit,INV-52622,Pending,Rush order
PO-5078,SUP-110,SwiftLogistics,SKU-1033,Cutting Board,Home & Kitchen,2025-08-01,242,0,168.46,40767.32,USD,2025-08-16,,,Pending,INV-22999,Pending,Quality check required
PO-5079,SUP-112,EuroGoods Direct,SKU-1007,Power Bank,Electronics,2026-02-02,343,0,206.81,70935.83,USD,2026-02-08,,,In Transit,INV-38183,Pending,Rush order
PO-5080,SUP-108,ValueChain Partners,SKU-1014,File Folders,Office,2025-10-01,183,0,199.6,36526.8,USD,2025-10-23,,,Pending,INV-64524,Pending,Bulk discount applied
PO-5081,SUP-102,FastShip Co.,SKU-1020,Men T-Shirt,Clothing,2025-10-08,170,170,209.8,35666.0,USD,2025-10-27,2025-10-29,2,Delivered,INV-72163,Paid,
PO-5082,SUP-114,AmeriTrade Supplies,SKU-1005,Monitor Stand,Electronics,2025-04-20,231,0,129.01,29801.31,USD,2025-04-23,,,Cancelled,INV-58843,Pending,Quality check required
PO-5083,SUP-103,PrimeVendor Ltd,SKU-1035,Food Storage Containers,Home & Kitchen,2025-04-03,310,0,138.65,42981.5,USD,2025-04-07,,,In Transit,INV-53207,Pending,Bulk discount applied
PO-5084,SUP-102,FastShip Co.,SKU-1026,Polo Shirt,Clothing,2025-09-01,457,274,169.46,77443.22,USD,2025-09-20,2025-10-01,11,Partially Delivered,INV-16743,Pending,
PO-5085,SUP-110,SwiftLogistics,SKU-1019,Tape Dispenser,Office,2025-08-31,63,63,226.67,14280.21,USD,2025-09-15,2025-09-17,2,Delivered,INV-96079,Pending,
PO-5086,SUP-114,AmeriTrade Supplies,SKU-1006,LED Desk Lamp,Electronics,2025-08-30,442,442,202.9,89681.8,USD,2025-09-02,2025-09-08,6,Delivered,INV-85248,Paid,Quality check required
PO-5087,SUP-107,TrustMart B2B,SKU-1035,Food Storage Containers,Home & Kitchen,2026-01-16,324,0,128.6,41666.4,USD,2026-02-01,,,In Transit,INV-13441,Pending,Seasonal stock
PO-5088,SUP-115,NorthStar Vendors,SKU-1042,Conditioner 500ml,Beauty,2026-02-22,146,146,24.04,3509.84,USD,2026-03-12,2026-03-19,7,Delivered,INV-54541,Pending,
PO-5089,SUP-103,PrimeVendor Ltd,SKU-1009,Laptop Stand,Electronics,2025-12-18,346,346,42.58,14732.68,USD,2025-12-22,2025-12-20,-2,Delivered,INV-22026,Overdue,Seasonal stock
PO-5090,SUP-104,EcoSource Inc.,SKU-1024,Baseball Cap,Clothing,2025-10-04,242,242,79.49,19236.58,USD,2025-10-10,2025-10-17,7,Delivered,INV-52517,Overdue,Seasonal stock
PO-5091,SUP-102,FastShip Co.,SKU-1003,Gaming Mouse,Electronics,2025-05-22,90,90,153.4,13806.0,USD,2025-06-10,2025-06-10,0,Delivered,INV-45665,Pending,Bulk discount applied
PO-5092,SUP-107,TrustMart B2B,SKU-1031,Blender,Home & Kitchen,2026-01-08,236,236,217.0,51212.0,USD,2026-01-24,2026-02-07,14,Delivered,INV-24918,Pending,Rush order
PO-5093,SUP-102,FastShip Co.,SKU-1018,Scissors,Office,2026-02-14,357,0,75.99,27128.43,USD,2026-03-05,,,In Transit,INV-97442,Pending,
PO-5094,SUP-101,GlobalTech Supplies,SKU-1014,File Folders,Office,2025-09-22,316,316,158.54,50098.64,USD,2025-10-07,2025-10-14,7,Delivered,INV-37686,Paid,Quality check required
PO-5095,SUP-105,MegaDist Corp,SKU-1018,Scissors,Office,2025-08-18,71,0,63.36,4498.56,USD,2025-09-06,,,Cancelled,INV-66446,Pending,
PO-5096,SUP-103,PrimeVendor Ltd,SKU-1024,Baseball Cap,Clothing,2025-12-01,370,0,76.8,28416.0,USD,2025-12-05,,,In Transit,INV-97562,Pending,Quality check required
PO-5097,SUP-106,QuickMart Wholesale,SKU-1004,Webcam,Electronics,2025-09-23,451,0,246.09,110986.59,USD,2025-10-05,,,Pending,INV-12456,Pending,Rush order
PO-5098,SUP-115,NorthStar Vendors,SKU-1004,Webcam,Electronics,2025-08-11,304,0,225.12,68436.48,USD,2025-08-29,,,Pending,INV-93904,Pending,Rush order
PO-5099,SUP-105,MegaDist Corp,SKU-1007,Power Bank,Electronics,2025-09-27,20,20,211.62,4232.4,USD,2025-10-16,2025-10-28,12,Delivered,INV-57428,Paid,Rush order
PO-5100,SUP-114,AmeriTrade Supplies,SKU-1006,LED Desk Lamp,Electronics,2025-07-06,233,0,204.8,47718.4,USD,2025-07-09,,,In Transit,INV-20308,Pending,Rush order
PO-5101,SUP-114,AmeriTrade Supplies,SKU-1019,Tape Dispenser,Office,2025-08-24,123,123,210.84,25933.32,USD,2025-08-27,2025-08-27,0,Delivered,INV-76910,Overdue,
PO-5102,SUP-109,NexGen Procurement,SKU-1032,Non-stick Pan,Home & Kitchen,2025-06-11,473,473,234.38,110861.74,USD,2025-07-01,2025-07-03,2,Delivered,INV-40968,Paid,
PO-5103,SUP-105,MegaDist Corp,SKU-1012,Sticky Notes Pack,Office,2025-05-31,318,190,139.74,44437.32,USD,2025-06-19,2025-06-19,0,Partially Delivered,INV-33218,Pending,Quality check required
PO-5104,SUP-111,AsiaTrade Hub,SKU-1031,Blender,Home & Kitchen,2025-10-27,396,0,226.7,89773.2,USD,2025-10-30,,,In Transit,INV-68838,Pending,Bulk discount applied
PO-5105,SUP-115,NorthStar Vendors,SKU-1036,Electric Kettle,Home & Kitchen,2026-01-27,335,335,22.2,7437.0,USD,2026-02-14,2026-02-22,8,Delivered,INV-29786,Pending,
PO-5106,SUP-108,ValueChain Partners,SKU-1028,Denim Shorts,Clothing,2026-01-21,165,0,123.72,20413.8,USD,2026-02-12,,,In Transit,INV-17362,Pending,
PO-5107,SUP-109,NexGen Procurement,SKU-1004,Webcam,Electronics,2025-08-09,246,246,226.64,55753.44,USD,2025-08-29,2025-09-07,9,Delivered,INV-47627,Paid,Bulk discount applied
PO-5108,SUP-114,AmeriTrade Supplies,SKU-1005,Monitor Stand,Electronics,2026-01-12,314,0,146.52,46007.28,USD,2026-01-15,,,Pending,INV-86064,Pending,Seasonal stock
PO-5109,SUP-113,PacificSource,SKU-1047,Eye Cream,Beauty,2025-03-25,240,0,37.51,9002.4,USD,2025-04-17,,,In Transit,INV-95437,Pending,
PO-5110,SUP-106,QuickMart Wholesale,SKU-1038,Mixing Bowls Set,Home & Kitchen,2025-11-02,266,266,87.14,23179.24,USD,2025-11-14,2025-11-26,12,Delivered,INV-23566,Pending,Bulk discount applied
PO-5111,SUP-102,FastShip Co.,SKU-1032,Non-stick Pan,Home & Kitchen,2026-01-28,98,0,187.75,18399.5,USD,2026-02-16,,,Cancelled,INV-67377,Pending,Rush order
PO-5112,SUP-109,NexGen Procurement,SKU-1033,Cutting Board,Home & Kitchen,2026-01-10,91,91,161.52,14698.32,USD,2026-01-30,2026-02-09,10,Delivered,INV-63578,Pending,Bulk discount applied
PO-5113,SUP-110,SwiftLogistics,SKU-1003,Gaming Mouse,Electronics,2026-01-21,341,341,135.91,46345.31,USD,2026-02-05,2026-02-06,1,Delivered,INV-83133,Overdue,Rush order
PO-5114,SUP-105,MegaDist Corp,SKU-1016,Desk Organizer,Office,2026-02-03,474,474,134.33,63672.42,USD,2026-02-22,2026-03-02,8,Delivered,INV-20682,Overdue,Bulk discount applied
PO-5115,SUP-103,PrimeVendor Ltd,SKU-1022,Hoodie,Clothing,2025-08-09,345,0,44.89,15487.05,USD,2025-08-13,,,Pending,INV-26901,Pending,Seasonal stock
PO-5116,SUP-112,EuroGoods Direct,SKU-1005,Monitor Stand,Electronics,2025-08-09,296,177,140.96,41724.16,USD,2025-08-15,2025-08-23,8,Partially Delivered,INV-26750,Pending,Bulk discount applied
PO-5117,SUP-112,EuroGoods Direct,SKU-1047,Eye Cream,Beauty,2026-02-17,477,0,33.77,16108.29,USD,2026-02-23,,,Cancelled,INV-97878,Pending,Rush order
PO-5118,SUP-109,NexGen Procurement,SKU-1023,Running Shoes,Clothing,2025-03-13,195,195,153.25,29883.75,USD,2025-04-02,2025-04-10,8,Delivered,INV-73736,Paid,
PO-5119,SUP-103,PrimeVendor Ltd,SKU-1009,Laptop Stand,Electronics,2025-04-12,161,161,48.26,7769.86,USD,2025-04-16,2025-04-30,14,Delivered,INV-80748,Overdue,Seasonal stock
PO-5120,SUP-101,GlobalTech Supplies,SKU-1042,Conditioner 500ml,Beauty,2025-08-23,458,458,30.03,13753.74,USD,2025-09-07,2025-09-17,10,Delivered,INV-30218,Paid,
PO-5121,SUP-114,AmeriTrade Supplies,SKU-1044,Lip Balm,Beauty,2026-01-17,424,0,243.15,103095.6,USD,2026-01-20,,,Cancelled,INV-67366,Pending,
PO-5122,SUP-107,TrustMart B2B,SKU-1023,Running Shoes,Clothing,2026-02-13,378,0,149.87,56650.86,USD,2026-03-01,,,Pending,INV-90031,Pending,
PO-5123,SUP-113,PacificSource,SKU-1047,Eye Cream,Beauty,2025-10-19,129,129,33.85,4366.65,USD,2025-11-11,2025-11-24,13,Delivered,INV-35430,Pending,Bulk discount applied
PO-5124,SUP-110,SwiftLogistics,SKU-1028,Denim Shorts,Clothing,2025-10-26,403,0,106.63,42971.89,USD,2025-11-10,,,Pending,INV-75916,Pending,Seasonal stock
PO-5125,SUP-107,TrustMart B2B,SKU-1010,Ballpoint Pens (Box),Office,2025-06-14,420,252,82.54,34666.8,USD,2025-06-30,2025-07-06,6,Partially Delivered,INV-16839,Pending,Bulk discount applied
PO-5126,SUP-108,ValueChain Partners,SKU-1023,Running Shoes,Clothing,2025-12-12,488,292,143.49,70023.12,USD,2026-01-03,2026-01-17,14,Partially Delivered,INV-26341,Pending,
PO-5127,SUP-102,FastShip Co.,SKU-1048,Toner,Beauty,2025-05-25,149,0,158.79,23659.71,USD,2025-06-13,,,In Transit,INV-29313,Pending,Quality check required
PO-5128,SUP-107,TrustMart B2B,SKU-1005,Monitor Stand,Electronics,2025-06-25,428,428,144.13,61687.64,USD,2025-07-11,2025-07-09,-2,Delivered,INV-64381,Paid,Rush order
PO-5129,SUP-109,NexGen Procurement,SKU-1023,Running Shoes,Clothing,2025-07-02,207,207,185.71,38441.97,USD,2025-07-22,2025-07-27,5,Delivered,INV-13694,Pending,
PO-5130,SUP-114,AmeriTrade Supplies,SKU-1045,Hand Cream,Beauty,2026-01-30,181,181,201.62,36493.22,USD,2026-02-02,2026-02-01,-1,Delivered,INV-47601,Pending,Bulk discount applied
PO-5131,SUP-114,AmeriTrade Supplies,SKU-1008,Smart Speaker,Electronics,2025-10-30,239,239,92.71,22157.69,USD,2025-11-02,2025-10-31,-2,Delivered,INV-43544,Paid,Quality check required
PO-5132,SUP-103,PrimeVendor Ltd,SKU-1035,Food Storage Containers,Home & Kitchen,2026-01-09,280,168,119.61,33490.8,USD,2026-01-13,2026-01-20,7,Partially Delivered,INV-41147,Pending,
PO-5133,SUP-102,FastShip Co.,SKU-1003,Gaming Mouse,Electronics,2025-07-04,224,0,148.59,33284.16,USD,2025-07-23,,,In Transit,INV-69914,Pending,
PO-5134,SUP-102,FastShip Co.,SKU-1031,Blender,Home & Kitchen,2026-01-03,284,0,191.18,54295.12,USD,2026-01-22,,,In Transit,INV-85372,Pending,
PO-5135,SUP-112,EuroGoods Direct,SKU-1009,Laptop Stand,Electronics,2025-07-31,229,229,37.48,8582.92,USD,2025-08-06,2025-08-11,5,Delivered,INV-84798,Pending,
PO-5136,SUP-111,AsiaTrade Hub,SKU-1042,Conditioner 500ml,Beauty,2025-04-16,278,278,31.73,8820.94,USD,2025-04-19,2025-05-03,14,Delivered,INV-81313,Overdue,Quality check required
PO-5137,SUP-109,NexGen Procurement,SKU-1035,Food Storage Containers,Home & Kitchen,2025-03-14,209,209,135.67,28355.03,USD,2025-04-03,2025-04-13,10,Delivered,INV-58929,Pending,Bulk discount applied
PO-5138,SUP-101,GlobalTech Supplies,SKU-1022,Hoodie,Clothing,2025-04-07,186,0,39.23,7296.78,USD,2025-04-22,,,Cancelled,INV-92346,Pending,
